English,Telugu,Swahili,Hindi,Arabic
"Fatty foods, greasy foods, and caffeine tend to trigger my chest tightness or pressure.","కొవ్వు పదార్థాలు, నూనెగారు ఆహారాలు మరియు కెఫీన్ నా ఛాతి దగ్గుముంచి లేదా ఒత్తిడిని ప్రేరేపిస్తాయి.","Vyakula vyenye mafuta, vyakula vya greasy, na caffeine huwa na kusababisha kifua changu kubana au shinikizo.","वसायुक्त खाद्य पदार्थ, चिकना खाद्य पदार्थ, और कैफीन मेरी छाती की जकड़न या दबाव को ट्रिगर करते हैं।",تميل الأطعمة الدهنية والأطعمة الدهنية والكافيين إلى تحفيز ضيق الصدر أو الضغط.
Have you tried avoiding trigger foods and drinks to see if your chest tightness or pressure improves?,మీ ఛాతి దగ్గుముంచి లేదా ఒత్తిడి మెరుగుపడుతుందో లేదో చూడడానికి ట్రిగ్గర్ ఆహారాలు మరియు పానీయాలను నివారించడం ప్రయత్నించారా?,Umejaribu kuepuka vyakula na vinywaji vya kuchochea kuona ikiwa kifua chako kinakaza au shinikizo linaboresha?,क्या आपने यह देखने के लिए ट्रिगर खाद्य पदार्थों और पेय पदार्थों से बचने की कोशिश की है कि क्या आपकी छाती की जकड़न या दबाव में सुधार होता है?,هل حاولت تجنب الأطعمة والمشروبات المحفزة لمعرفة ما إذا كان ضيق الصدر أو الضغط لديك يتحسن؟
"Yes, I have tried avoiding trigger foods and drinks, but my chest tightness or pressure persists.","అవును, నేను ట్రిగ్గర్ ఆహారాలు మరియు పానీయాలను నివారించడానికి ప్రయత్నించాను, కానీ నా ఛాతీ బిగుతు లేదా ఒత్తిడి కొనసాగుతుంది.","Ndio, nimejaribu kuepuka vyakula na vinywaji vya kuchochea, lakini kifua changu kubana au shinikizo linaendelea.","हां, मैंने ट्रिगर खाद्य पदार्थों और पेय पदार्थों से बचने की कोशिश की है, लेकिन मेरी छाती में जकड़न या दबाव बना रहता है।",نعم ، لقد حاولت تجنب الأطعمة والمشروبات المحفزة ، لكن ضيق الصدر أو الضغط مستمر.
I have been experiencing a blocked ear for a few days now. It's really uncomfortable and muffles my hearing.,నాకు కొన్ని రోజులుగా చెవి మూసుకుపోయింది. ఇది చాలా అసౌకర్యంగా ఉంది మరియు నా వినికిడిని అణిచివేస్తుంది.,Nimekuwa nikipata sikio lililozuiwa kwa siku chache sasa. Ni kweli wasiwasi na muffles kusikia yangu.,मैं कुछ दिनों से एक अवरुद्ध कान का अनुभव कर रहा हूं। यह वास्तव में असहज है और मेरी सुनवाई को बाधित करता है।,لقد كنت أعاني من انسداد الأذن لبضعة أيام حتى الآن. إنه أمر غير مريح حقا ويكتم سمعي.
It sounds like you have earwax buildup. I can clean it out for you.,మీకు చెవిపోటు పేరుకుపోయిందని అనిపిస్తుంది. నేను దానిని మీకు శుభ్రం చేయగలను.,Inaonekana kama una muundo wa earwax. Ninaweza kusafisha kwa ajili yako.,ऐसा लगता है कि आपके पास ईयरवैक्स बिल्डअप है। मैं इसे आपके लिए साफ कर सकता हूं।,يبدو أن لديك تراكم شمع الأذن. يمكنني تنظيفه لك.
My child has been waking up at night with a stuffy nose and a cough. It's been keeping me up all night!,నా పిల్లలు రాత్రి ముక్కు దురుదృష్టి మరియు దగ్గుతో మేలుకుంటారు. ఇది నన్ను రాత్రంతా నిద్రపోనిస్తుంది!,Mtoto wangu amekuwa akiamka usiku na pua yenye vitu na kikohozi. Umekuwa ukiniweka usiku kucha!,मेरा बच्चा रात में भरी हुई नाक और खांसी के साथ जाग रहा है। यह मुझे पूरी रात जगाए रखता है!,كان طفلي يستيقظ في الليل مع انسداد الأنف والسعال. لقد كان يبقيني مستيقظا طوال الليل!
It sounds like your child might have a cold or allergies. I'll examine your child's nose and throat to see if there are any signs of infection.,"మీ పిల్లలకు జలుబు లేదా అలెర్జీలు ఉన్నట్లు అనిపిస్తుంది. మీ పిల్లల ముక్కు మరియు గొంతును పరిశీలించి, వారికి ఇన్ఫెక్షన్ యొక్క ఏవైనా సంకేతాలు ఉన్నాయో లేదో చూస్తాను.",Inaonekana kama mtoto wako anaweza kuwa na baridi au mzio. Nitachunguza pua na koo la mtoto wako ili kuona kama kuna dalili zozote za maambukizi.,ऐसा लगता है कि आपके बच्चे को सर्दी या एलर्जी हो सकती है। मैं यह देखने के लिए आपके बच्चे की नाक और गले की जांच करूंगा कि संक्रमण के कोई संकेत हैं या नहीं।,يبدو أن طفلك قد يكون مصابا بنزلة برد أو حساسية. سأفحص أنف طفلك وحلقه لمعرفة ما إذا كانت هناك أي علامات للعدوى.
I have been experiencing a persistent sore throat that hasn't gone away. I'm also having trouble swallowing.,"నాకు నిరంతరంగా గొంతు నొప్పి ఉంది, అది తగ్గలేదు. నేను మింగడానికి కూడా ఇబ్బంది పడుతున్నాను.",Nimekuwa nikikabiliwa na maumivu ya koo ambayo hayajaondoka. Mimi pia nina tatizo la kumeza.,मैं लगातार गले में खराश का अनुभव कर रहा हूं जो दूर नहीं हुआ है। मुझे निगलने में भी परेशानी हो रही है।,لقد كنت أعاني من التهاب مستمر في الحلق لم يختف. أعاني أيضا من مشكلة في البلع.
"Have you noticed any fever, fatigue, or difficulty breathing?","మీకు జ్వరం, అలసట లేదా శ్వాసకోశానికి ఇబ్బంది వచ్చిందా?","Je, umeona homa yoyote, uchovu, au ugumu wa kupumua?","क्या आपने किसी बुखार, थकान या सांस लेने में कठिनाई देखी है?",هل لاحظت أي حمى أو إرهاق أو صعوبة في التنفس؟
"No, just the sore throat and swallowing problems.","లేదు, కేవలం గొంతు నొప్పి మరియు మింగడం సమస్యలు.","Hapana, tu maumivu ya koo na matatizo ya kumeza.","नहीं, सिर्फ गले में खराश और निगलने की समस्या।",لا ، فقط التهاب الحلق ومشاكل البلع.
I have been experiencing a ringing in my ears that won't go away. It's really driving me crazy!,"నా చెవులలో గింగురుమని వినిపిస్తుంది, అది దూరంగా వెళ్ళదు. ఇది నన్ను నిజంగా పిచ్చిగా చేస్తోంది!",Nimekuwa nikipitia pete masikioni mwangu ambayo haitaondoka. Kwa kweli inanisukuma wazimu!,मैं अपने कानों में एक घंटी का अनुभव कर रहा हूं जो दूर नहीं जाएगा। यह वास्तव में मुझे पागल कर रहा है!,لقد كنت أعاني من رنين في أذني لن يختفي. إنه حقا يقودني إلى الجنون!
"It sounds like you have tinnitus. Tinnitus can be caused by a variety of factors, including earwax buildup, noise exposure, and certain medications.","మీకు టిన్నిటస్ ఉన్నట్లు అనిపిస్తుంది. టిన్నిటస్‌ను చెవిపోటు పేరుకుపోవడం, శబ్దానికి గురి కావడం మరియు కొన్ని మందులు వాడటం వంటి వివిధ కారణాలు కలిగిస్తాయి.","Inaonekana kama una tinnitus. Tinnitus inaweza kusababishwa na sababu mbalimbali, ikiwa ni pamoja na ujenzi wa earwax, mfiduo wa kelele, na dawa fulani.","ऐसा लगता है कि आपके पास टिनिटस है। टिनिटस विभिन्न कारकों के कारण हो सकता है, जिसमें ईयरवैक्स बिल्डअप, शोर एक्सपोजर और कुछ दवाएं शामिल हैं।",يبدو أنك تعاني من طنين الأذن. يمكن أن يحدث طنين الأذن بسبب مجموعة متنوعة من العوامل ، بما في ذلك تراكم شمع الأذن والتعرض للضوضاء وبعض الأدوية.
I have been experiencing hearing loss for the past few months. It's been making it difficult to understand people in conversations.,నాకు గత కొన్ని నెలలుగా వినికిడి నష్టం వస్తోంది. ఇది సంభాషణలలో ప్రజలను అర్థం చేసుకోవడం కష్టతరం చేస్తోంది.,Nimekuwa nikipata hasara ya kusikia kwa miezi michache iliyopita. Imekuwa vigumu kuelewa watu katika mazungumzo.,मैं पिछले कुछ महीनों से श्रवण हानि का अनुभव कर रहा हूं। यह बातचीत में लोगों को समझने में मुश्किल बना रहा है।,لقد كنت أعاني من فقدان السمع خلال الأشهر القليلة الماضية. لقد جعل من الصعب فهم الناس في المحادثات.
"Hearing loss can be caused by a variety of factors, including aging, noise exposure, and certain medical conditions.","వినికిడి నష్టం వయస్సు, శబ్దానికి గురి కావడం మరియు కొన్ని వైద్య పరిస్థితులు వంటి వివిధ కారణాల వల్ల కావచ్చు.","Kupoteza kusikia kunaweza kusababishwa na sababu anuwai, pamoja na kuzeeka, mfiduo wa kelele, na hali fulani za matibabu.","सुनवाई हानि कई कारकों के कारण हो सकती है, जिसमें उम्र बढ़ने, शोर जोखिम और कुछ चिकित्सा स्थितियां शामिल हैं।",يمكن أن يحدث فقدان السمع بسبب مجموعة متنوعة من العوامل ، بما في ذلك الشيخوخة والتعرض للضوضاء وبعض الحالات الطبية.
My child has been having ear infections frequently. It's been a constant struggle.,నా పిల్లలకు తరచుగా చెవి ఇన్ఫెక్షన్లు వస్తున్నాయి. ఇది నిరంతర పోరాటం.,Mtoto wangu amekuwa akisumbuliwa na maambukizi ya sikio mara kwa mara. Imekuwa ni mapambano ya mara kwa mara.,मेरे बच्चे को अक्सर कान में संक्रमण होता है। यह एक निरंतर संघर्ष रहा है।,يعاني طفلي من التهابات الأذن بشكل متكرر. لقد كان صراعا مستمرا.
"Recurring ear infections can be caused by a variety of factors, including allergies, enlarged adenoids, and certain medical conditions.","అలెర్జీలు, విస్తారిత అడినాయిడ్లు మరియు కొన్ని వైద్య పరిస్థితులతో సహా అనేక రకాల కారణాల వల్ల పునరావృతమయ్యే చెవి ఇన్ఫెక్షన్లు సంభవించవచ్చు.","Maambukizi ya sikio ya mara kwa mara yanaweza kusababishwa na sababu mbalimbali, ikiwa ni pamoja na mzio, adenoids zilizopanuliwa, na hali fulani za matibabu.","आवर्ती कान के संक्रमण विभिन्न कारकों के कारण हो सकते हैं, जिनमें एलर्जी, बढ़े हुए एडेनोइड और कुछ चिकित्सा स्थितियां शामिल हैं।",يمكن أن تحدث التهابات الأذن المتكررة بسبب مجموعة متنوعة من العوامل ، بما في ذلك الحساسية والزوائد الأنفية المتضخمة وبعض الحالات الطبية.
I have been experiencing a blocked ear for a few days now. It's really uncomfortable and muffles my hearing.,నాకు కొన్ని రోజులుగా చెవి మూసుకుపోయింది. ఇది చాలా అసౌకర్యంగా ఉంది మరియు నా వినికిడిని అణిచివేస్తుంది.,Nimekuwa nikipata sikio lililozuiwa kwa siku chache sasa. Ni kweli wasiwasi na muffles kusikia yangu.,मैं कुछ दिनों से एक अवरुद्ध कान का अनुभव कर रहा हूं। यह वास्तव में असहज है और मेरी सुनवाई को बाधित करता है।,لقد كنت أعاني من انسداد الأذن لبضعة أيام حتى الآن. إنه أمر غير مريح حقا ويكتم سمعي.
It sounds like you have earwax buildup. I can clean it out for you.,మీకు చెవిపోటు పేరుకుపోయిందని అనిపిస్తుంది. నేను దానిని మీకు శుభ్రం చేయగలను.,Inaonekana kama una muundo wa earwax. Ninaweza kusafisha kwa ajili yako.,ऐसा लगता है कि आपके पास ईयरवैक्स बिल्डअप है। मैं इसे आपके लिए साफ कर सकता हूं।,يبدو أن لديك تراكم شمع الأذن. يمكنني تنظيفه لك.
My child has been waking up at night with a stuffy nose and a cough. It's been keeping me up all night!,నా పిల్లలు రాత్రి ముక్కు దురుదృష్టి మరియు దగ్గుతో మేలుకుంటారు. ఇది నన్ను రాత్రంతా నిద్రపోనిస్తుంది!,Mtoto wangu amekuwa akiamka usiku na pua yenye vitu na kikohozi. Umekuwa ukiniweka usiku kucha!,मेरा बच्चा रात में भरी हुई नाक और खांसी के साथ जाग रहा है। यह मुझे पूरी रात जगाए रखता है!,كان طفلي يستيقظ في الليل مع انسداد الأنف والسعال. لقد كان يبقيني مستيقظا طوال الليل!
It sounds like your child might have a cold or allergies. I'll examine your child's nose and throat to see if there are any signs of infection.,"మీ పిల్లలకు జలుబు లేదా అలెర్జీలు ఉన్నట్లు అనిపిస్తుంది. మీ పిల్లల ముక్కు మరియు గొంతును పరిశీలించి, వారికి ఇన్ఫెక్షన్ యొక్క ఏవైనా సంకేతాలు ఉన్నాయో లేదో చూస్తాను.",Inaonekana kama mtoto wako anaweza kuwa na baridi au mzio. Nitachunguza pua na koo la mtoto wako ili kuona kama kuna dalili zozote za maambukizi.,ऐसा लगता है कि आपके बच्चे को सर्दी या एलर्जी हो सकती है। मैं यह देखने के लिए आपके बच्चे की नाक और गले की जांच करूंगा कि संक्रमण के कोई संकेत हैं या नहीं।,يبدو أن طفلك قد يكون مصابا بنزلة برد أو حساسية. سأفحص أنف طفلك وحلقه لمعرفة ما إذا كانت هناك أي علامات للعدوى.
I have been experiencing a persistent sore throat that hasn't gone away. I'm also having trouble swallowing.,"నాకు నిరంతరంగా గొంతు నొప్పి ఉంది, అది తగ్గలేదు. నేను మింగడానికి కూడా ఇబ్బంది పడుతున్నాను.",Nimekuwa nikikabiliwa na maumivu ya koo ambayo hayajaondoka. Mimi pia nina tatizo la kumeza.,मैं लगातार गले में खराश का अनुभव कर रहा हूं जो दूर नहीं हुआ है। मुझे निगलने में भी परेशानी हो रही है।,لقد كنت أعاني من التهاب مستمر في الحلق لم يختف. أعاني أيضا من مشكلة في البلع.
"Have you noticed any fever, fatigue, or difficulty breathing?","మీకు జ్వరం, అలసట లేదా శ్వాసకోశానికి ఇబ్బంది వచ్చిందా?","Je, umeona homa yoyote, uchovu, au ugumu wa kupumua?","क्या आपने किसी बुखार, थकान या सांस लेने में कठिनाई देखी है?",هل لاحظت أي حمى أو إرهاق أو صعوبة في التنفس؟
"No, just the sore throat and swallowing problems.","లేదు, కేవలం గొంతు నొప్పి మరియు మింగడం సమస్యలు.","Hapana, tu maumivu ya koo na matatizo ya kumeza.","नहीं, सिर्फ गले में खराश और निगलने की समस्या।",لا ، فقط التهاب الحلق ومشاكل البلع.
I have been experiencing a ringing in my ears that won't go away. It's really driving me crazy!,"నా చెవులలో గింగురుమని వినిపిస్తుంది, అది దూరంగా వెళ్ళదు. ఇది నన్ను నిజంగా పిచ్చిగా చేస్తోంది!",Nimekuwa nikipitia pete masikioni mwangu ambayo haitaondoka. Kwa kweli inanisukuma wazimu!,मैं अपने कानों में एक घंटी का अनुभव कर रहा हूं जो दूर नहीं जाएगा। यह वास्तव में मुझे पागल कर रहा है!,لقد كنت أعاني من رنين في أذني لن يختفي. إنه حقا يقودني إلى الجنون!
"It sounds like you have tinnitus. Tinnitus can be caused by a variety of factors, including earwax buildup, noise exposure, and certain medications.","మీకు টিన్నిటస్ ఉన్నట్లు అనిపిస్తుంది. టిన్నిటస్‌ను చెవిపోటు పేరుకుపోవడం, శబ్దానికి గురి కావడం మరియు కొన్ని మందులు వాడటం వంటి వివిధ కారణాలు కలిగిస్తాయి.","Inaonekana kama una tinnitus. Tinnitus inaweza kusababishwa na sababu mbalimbali, ikiwa ni pamoja na ujenzi wa earwax, mfiduo wa kelele, na dawa fulani.","ऐसा लगता है कि आपके पास टिनिटस है। टिनिटस विभिन्न कारकों के कारण हो सकता है, जिसमें ईयरवैक्स बिल्डअप, शोर एक्सपोजर और कुछ दवाएं शामिल हैं।",يبدو أنك تعاني من طنين الأذن. يمكن أن يحدث طنين الأذن بسبب مجموعة متنوعة من العوامل ، بما في ذلك تراكم شمع الأذن والتعرض للضوضاء وبعض الأدوية.
I have been experiencing hearing loss for the past few months. It's been making it difficult to understand people in conversations.,నాకు గత కొన్ని నెలలుగా వినికిడి నష్టం వస్తోంది. ఇది సంభాషణలలో ప్రజలను అర్థం చేసుకోవడం కష్టతరం చేస్తోంది.,Nimekuwa nikipata hasara ya kusikia kwa miezi michache iliyopita. Imekuwa vigumu kuelewa watu katika mazungumzo.,मैं पिछले कुछ महीनों से श्रवण हानि का अनुभव कर रहा हूं। यह बातचीत में लोगों को समझने में मुश्किल बना रहा है।,لقد كنت أعاني من فقدان السمع خلال الأشهر القليلة الماضية. لقد جعل من الصعب فهم الناس في المحادثات.
"Hearing loss can be caused by a variety of factors, including aging, noise exposure, and certain medical conditions.","వినికిడి నష్టం వయస్సు, శబ్దానికి గురి కావడం మరియు కొన్ని వైద్య పరిస్థితులు వంటి వివిధ కారణాల వల్ల కావచ్చు.","Kupoteza kusikia kunaweza kusababishwa na sababu anuwai, pamoja na kuzeeka, mfiduo wa kelele, na hali fulani za matibabu.","सुनवाई हानि कई कारकों के कारण हो सकती है, जिसमें उम्र बढ़ने, शोर जोखिम और कुछ चिकित्सा स्थितियां शामिल हैं।",يمكن أن يحدث فقدان السمع بسبب مجموعة متنوعة من العوامل ، بما في ذلك الشيخوخة والتعرض للضوضاء وبعض الحالات الطبية.
My child has been having ear infections frequently. It's been a constant struggle.,నా పిల్లలకు తరచుగా చెవి ఇన్ఫెక్షన్లు వస్తున్నాయి. ఇది నిరంతర పోరాటం.,Mtoto wangu amekuwa akisumbuliwa na maambukizi ya sikio mara kwa mara. Imekuwa ni mapambano ya mara kwa mara.,मेरे बच्चे को अक्सर कान में संक्रमण होता है। यह एक निरंतर संघर्ष रहा है।,يعاني طفلي من التهابات الأذن بشكل متكرر. لقد كان صراعا مستمرا.
"Recurring ear infections can be caused by a variety of factors, including allergies, enlarged adenoids, and certain medical conditions.","అలెర్జీలు, విస్తారిత అడినాయిడ్లు మరియు కొన్ని వైద్య పరిస్థితులతో సహా అనేక రకాల కారణాల వల్ల పునరావృతమయ్యే చెవి ఇన్ఫెక్షన్లు సంభవించవచ్చు.","Maambukizi ya sikio ya mara kwa mara yanaweza kusababishwa na sababu mbalimbali, ikiwa ni pamoja na mzio, adenoids zilizopanuliwa, na hali fulani za matibabu.","आवर्ती कान के संक्रमण विभिन्न कारकों के कारण हो सकते हैं, जिनमें एलर्जी, बढ़े हुए एडेनोइड और कुछ चिकित्सा स्थितियां शामिल हैं।",يمكن أن تحدث التهابات الأذن المتكررة بسبب مجموعة متنوعة من العوامل ، بما في ذلك الحساسية والزوائد الأنفية المتضخمة وبعض الحالات الطبية.
I have been experiencing a blocked ear for a few days now. It's really uncomfortable and muffles my hearing.,నాకు కొన్ని రోజులుగా చెవి మూసుకుపోయింది. ఇది చాలా అసౌకర్యంగా ఉంది మరియు నా వినికిడిని అణిచివేస్తుంది.,Nimekuwa nikipata sikio lililozuiwa kwa siku chache sasa. Ni kweli wasiwasi na muffles kusikia yangu.,मैं कुछ दिनों से एक अवरुद्ध कान का अनुभव कर रहा हूं। यह वास्तव में असहज है और मेरी सुनवाई को बाधित करता है।,لقد كنت أعاني من انسداد الأذن لبضعة أيام حتى الآن. إنه أمر غير مريح حقا ويكتم سمعي.
It sounds like you have earwax buildup. I can clean it out for you.,మీకు చెవిపోటు పేరుకుపోయిందని అనిపిస్తుంది. నేను దానిని మీకు శుభ్రం చేయగలను.,Inaonekana kama una muundo wa earwax. Ninaweza kusafisha kwa ajili yako.,ऐसा लगता है कि आपके पास ईयरवैक्स बिल्डअप है। मैं इसे आपके लिए साफ कर सकता हूं।,يبدو أن لديك تراكم شمع الأذن. يمكنني تنظيفه لك.
My child has been waking up at night with a stuffy nose and a cough. It's been keeping me up all night!,నా పిల్లలు రాత్రి ముక్కు దురుదృష్టి మరియు దగ్గుతో మేలుకుంటారు. ఇది నన్ను రాత్రంతా నిద్రపోనిస్తుంది!,Mtoto wangu amekuwa akiamka usiku na pua yenye vitu na kikohozi. Umekuwa ukiniweka usiku kucha!,मेरा बच्चा रात में भरी हुई नाक और खांसी के साथ जाग रहा है। यह मुझे पूरी रात जगाए रखता है!,كان طفلي يستيقظ في الليل مع انسداد الأنف والسعال. لقد كان يبقيني مستيقظا طوال الليل!
It sounds like your child might have a cold or allergies. I'll examine your child's nose and throat to see if there are any signs of infection.,"మీ పిల్లలకు జలుబు లేదా అలెర్జీలు ఉన్నట్లు అనిపిస్తుంది. మీ పిల్లల ముక్కు మరియు గొంతును పరిశీలించి, వారికి ఇన్ఫెక్షన్ యొక్క ఏవైనా సంకేతాలు ఉన్నాయో లేదో చూస్తాను.",Inaonekana kama mtoto wako anaweza kuwa na baridi au mzio. Nitachunguza pua na koo la mtoto wako ili kuona kama kuna dalili zozote za maambukizi.,ऐसा लगता है कि आपके बच्चे को सर्दी या एलर्जी हो सकती है। मैं यह देखने के लिए आपके बच्चे की नाक और गले की जांच करूंगा कि संक्रमण के कोई संकेत हैं या नहीं।,يبدو أن طفلك قد يكون مصابا بنزلة برد أو حساسية. سأفحص أنف طفلك وحلقه لمعرفة ما إذا كانت هناك أي علامات للعدوى.
I have been experiencing a persistent sore throat that hasn't gone away. I'm also having trouble swallowing.,"నాకు నిరంతరంగా గొంతు నొప్పి ఉంది, అది తగ్గలేదు. నేను మింగడానికి కూడా ఇబ్బంది పడుతున్నాను.",Nimekuwa nikikabiliwa na maumivu ya koo ambayo hayajaondoka. Mimi pia nina tatizo la kumeza.,मैं लगातार गले में खराश का अनुभव कर रहा हूं जो दूर नहीं हुआ है। मुझे निगलने में भी परेशानी हो रही है।,لقد كنت أعاني من التهاب مستمر في الحلق لم يختف. أعاني أيضا من مشكلة في البلع.
"Have you noticed any fever, fatigue, or difficulty breathing?","మీకు జ్వరం, అలసట లేదా శ్వాసకోశానికి ఇబ్బంది వచ్చిందా?","Je, umeona homa yoyote, uchovu, au ugumu wa kupumua?","क्या आपने किसी बुखार, थकान या सांस लेने में कठिनाई देखी है?",هل لاحظت أي حمى أو إرهاق أو صعوبة في التنفس؟
"No, just the sore throat and swallowing problems.","లేదు, కేవలం గొంతు నొప్పి మరియు మింగడం సమస్యలు.","Hapana, tu maumivu ya koo na matatizo ya kumeza.","नहीं, सिर्फ गले में खराश और निगलने की समस्या।",لا ، فقط التهاب الحلق ومشاكل البلع.
I have been experiencing a ringing in my ears that won't go away. It's really driving me crazy!,"నా చెవులలో గింగురుమని వినిపిస్తుంది, అది దూరంగా వెళ్ళదు. ఇది నన్ను నిజంగా పిచ్చిగా చేస్తోంది!",Nimekuwa nikipitia pete masikioni mwangu ambayo haitaondoka. Kwa kweli inanisukuma wazimu!,मैं अपने कानों में एक घंटी का अनुभव कर रहा हूं जो दूर नहीं जाएगा। यह वास्तव में मुझे पागल कर रहा है!,لقد كنت أعاني من رنين في أذني لن يختفي. إنه حقا يقودني إلى الجنون!
"It sounds like you have tinnitus. Tinnitus can be caused by a variety of factors, including earwax buildup, noise exposure, and certain medications.","మీకు টিన్నిటస్ ఉన్నట్లు అనిపిస్తుంది. టిన్నిటస్‌ను చెవిపోటు పేరుకుపోవడం, శబ్దానికి గురి కావడం మరియు కొన్ని మందులు వాడటం వంటి వివిధ కారణాలు కలిగిస్తాయి.","Inaonekana kama una tinnitus. Tinnitus inaweza kusababishwa na sababu mbalimbali, ikiwa ni pamoja na ujenzi wa earwax, mfiduo wa kelele, na dawa fulani.","ऐसा लगता है कि आपके पास टिनिटस है। टिनिटस विभिन्न कारकों के कारण हो सकता है, जिसमें ईयरवैक्स बिल्डअप, शोर एक्सपोजर और कुछ दवाएं शामिल हैं।",يبدو أنك تعاني من طنين الأذن. يمكن أن يحدث طنين الأذن بسبب مجموعة متنوعة من العوامل ، بما في ذلك تراكم شمع الأذن والتعرض للضوضاء وبعض الأدوية.
I have been experiencing hearing loss for the past few months. It's been making it difficult to understand people in conversations.,నాకు గత కొన్ని నెలలుగా వినికిడి నష్టం వస్తోంది. ఇది సంభాషణలలో ప్రజలను అర్థం చేసుకోవడం కష్టతరం చేస్తోంది.,Nimekuwa nikipata hasara ya kusikia kwa miezi michache iliyopita. Imekuwa vigumu kuelewa watu katika mazungumzo.,मैं पिछले कुछ महीनों से श्रवण हानि का अनुभव कर रहा हूं। यह बातचीत में लोगों को समझने में मुश्किल बना रहा है।,لقد كنت أعاني من فقدان السمع خلال الأشهر القليلة الماضية. لقد جعل من الصعب فهم الناس في المحادثات.
"Hearing loss can be caused by a variety of factors, including aging, noise exposure, and certain medical conditions.","వృద్ధాప్యం, శబ్దం బహిర్గతం మరియు కొన్ని వైద్య పరిస్థితులతో సహా వివిధ కారణాల వల్ల వినికిడి లోపం సంభవించవచ్చు.","Kupoteza kusikia kunaweza kusababishwa na sababu anuwai, pamoja na kuzeeka, mfiduo wa kelele, na hali fulani za matibabu.","सुनवाई हानि कई कारकों के कारण हो सकती है, जिसमें उम्र बढ़ने, शोर जोखिम और कुछ चिकित्सा स्थितियां शामिल हैं।",يمكن أن يحدث فقدان السمع بسبب مجموعة متنوعة من العوامل ، بما في ذلك الشيخوخة والتعرض للضوضاء وبعض الحالات الطبية.
I have been experiencing a feeling of fullness and pressure in my ears after eating.,తినడం తర్వాత నా చెవులలో నిండుగా మరియు ఒత్తిడి అనిపిస్తుంది.,Nimekuwa nikipata hisia ya ukamilifu na shinikizo masikioni mwangu baada ya kula.,मैं खाने के बाद अपने कानों में परिपूर्णता और दबाव की भावना का अनुभव कर रहा हूं।,لقد كنت أعاني من شعور بالامتلاء والضغط في أذني بعد تناول الطعام.
This could be a sign of earwax buildup or Eustachian tube dysfunction.,ఇది చెవిపోటు పేరుకుపోవడం లేదా ఊదుడు గొట్టపు నాళం పనిచేయకపోవడం యొక్క సంకేతం కావచ్చు.,Hii inaweza kuwa ishara ya ujenzi wa earwax au dysfunction ya bomba la Eustachian.,यह ईयरवैक्स बिल्डअप या यूस्टेशियन ट्यूब डिसफंक्शन का संकेत हो सकता है।,قد يكون هذا علامة على تراكم شمع الأذن أو خلل وظيفي في قناة استاكيوس.
I have been experiencing a ringing or buzzing sound in my ears that won't go away.,"నా చెవులలో గింగురుమని లేదా గొణగింపు శబ్దం వస్తున్నది, అది దూరంగా వెళ్ళదు.",Nimekuwa nikipata sauti ya kupiga kelele au kupiga kelele masikioni mwangu ambayo haitaondoka.,मैं अपने कानों में एक बजने वाली या गूंजने वाली ध्वनि का अनुभव कर रहा हूं जो दूर नहीं जाएगा।,لقد كنت أعاني من صوت رنين أو أزيز في أذني لن يختفي.
"This could be a sign of tinnitus, a condition that can be caused by a variety of factors, including earwax buildup, noise exposure, and certain medications.","ఇది టిన్నిటస్‌కు సంకేతం కావచ్చు, ఇది చెవిపోటు పేరుకుపోవడం, శబ్దానికి గురి కావడం మరియు కొన్ని మందులు వాడటం వంటి వివిధ కారణాల వల్ల కావచ్చు.","Hii inaweza kuwa ishara ya tinnitus, hali ambayo inaweza kusababishwa na sababu mbalimbali, ikiwa ni pamoja na ujenzi wa earwax, mfiduo wa kelele, na dawa fulani.","यह टिनिटस का संकेत हो सकता है, एक ऐसी स्थिति जो विभिन्न कारकों के कारण हो सकती है, जिसमें ईयरवैक्स बिल्डअप, शोर एक्सपोजर और कुछ दवाएं शामिल हैं।",قد يكون هذا علامة على طنين الأذن ، وهي حالة يمكن أن تسببها مجموعة متنوعة من العوامل ، بما في ذلك تراكم شمع الأذن والتعرض للضوضاء وبعض الأدوية.
I have been experiencing a sudden loss of hearing in one ear.,నాకు ఒక చెవిలో శబ్దం కోల్పోవడం అనిపించింది.,Nimekuwa nikipoteza kusikia kwa ghafla katika sikio moja.,मुझे एक कान में सुनने की अचानक कमी का अनुभव हो रहा है।,لقد كنت أعاني من فقدان مفاجئ للسمع في أذن واحدة.
"This could be a sign of a sudden sensorineural hearing loss, which is a medical emergency that requires prompt treatment.","ఇది తీవ్రమైన సెన్సోరిన్యూరల్ వినికిడి నష్టం యొక్క సంకేతం కావచ్చు, ఇది తక్షణ చికిత్స అవసరమయ్యే వైద్య అత్యవసర పరిస్థితి.","Hii inaweza kuwa ishara ya kupoteza kusikia kwa ghafla kwa hisia, ambayo ni dharura ya matibabu ambayo inahitaji matibabu ya haraka.","यह अचानक सेंसरिन्यूरल सुनवाई हानि का संकेत हो सकता है, जो एक चिकित्सा आपातकाल है जिसके लिए शीघ्र उपचार की आवश्यकता होती है।",قد يكون هذا علامة على فقدان السمع الحسي العصبي المفاجئ ، وهو حالة طبية طارئة تتطلب علاجا فوريا.
